len;nParam;DL;ms;nll;restarts;restartNumBest;numIters;numEvals
1;1;48327.408516707896;377;48322.18869343529;15;15;55;121
5;2;-240.90597613313008;1639;-256.3988508575284;35;35;315;725
7;2;7093.060111604721;1265;7071.868861408918;35;35;274;692
8;3;-476.1604575154456;46987;-511.0225837322824;106;55;13027;30519
9;4;-1195.2482004724595;860026;-1230.529890192096;324;25;45160;417120
10;3;-438.92479323155135;5484;-465.9983304383483;58;55;856;2544
11;4;-1208.9365011615764;602264;-1247.1398289531337;324;9;77455;260543
12;4;-1187.6353533493693;258635;-1225.2246959776683;268;75;11935;146664
13;5;-1242.356537838294;357890;-1283.037497884588;475;1;50100;165416
14;5;-1219.335580602325;560579;-1265.1619010283396;475;4;93612;239793
15;5;-1232.6404216028498;1073847;-1279.3360060587731;475;3;42227;391640
16;5;-1233.5915256697133;585422;-1284.590155895153;475;1;85271;203395
17;5;-1238.422023783249;540375;-1292.121036675179;475;7;49735;197826
18;6;-1232.757822353758;1424364;-1286.1796895640757;695;1;87508;552255
19;6;-1232.5738188347011;1099795;-1287.7687999184807;695;2;80446;340161
20;7;-1230.8869599916577;1683267;-1293.3473670836277;1017;1;90867;593554
21;6;-1233.2856412085494;1507693;-1293.2638903701438;534;2;31844;480790
22;7;-1229.769671480612;2291995;-1293.489875843108;1017;1;86823;814085
23;7;-1245.795519644213;2307894;-1318.551834494777;1017;1;124224;609532
24;8;-1222.0034272003338;3607163;-1297.5830284681006;833;1;122591;1088035
25;7;-1283.74652686543;1372701;-1359.0128367495972;1017;1;65809;388246
26;7;-1266.923358233486;1183053;-1351.0099178326345;1017;1;71057;302953
27;7;-1266.662485439278;909104;-1347.1421408474187;1017;1;66094;231876
28;7;-1204.0275664984106;2146484;-1291.3934021552614;1017;1;203378;623817
29;7;-1197.1275771332735;1027492;-1286.2583053411288;767;1;73863;298828
