len;nParam;DL;ms;nll;restarts;restartNumBest
1;1;1.7976931348623157E+308;698;48322.18869343554;17;15
5;2;-240.8408800569918;3668;-256.3988508574968;35;35
7;2;7094.642916935268;7495;7071.868862366802;58;35
8;3;-476.17377403570686;106689;-511.02052282399274;118;55
9;4;-1192.6090931655317;484004;-1229.6496141336904;280;1
10;3;-438.8794602722795;33720;-465.9983242353091;84;55
11;4;-1207.2719961498399;388817;-1245.6537844752588;280;1
12;3;-273.2288692972153;181368;-306.63868961543494;220;52
13;5;-1220.2705772625934;534539;-1261.8451062961944;340;1
14;5;-1202.5033311015043;871447;-1246.2055427762868;340;1
15;5;-1230.905536709222;645453;-1277.6675411383444;340;1
16;5;-1206.7695189346096;1145364;-1258.6822941553626;340;1
17;5;-1238.2167721847645;718038;-1291.8022316707772;340;1
18;6;-1221.153022930693;942231;-1276.9153840362287;400;1
19;6;-1223.2392112333607;916302;-1280.9206255937956;400;1
20;6;-1223.8942533075463;1506355;-1286.7956901054954;400;1
21;6;-1225.447047166176;1405917;-1289.7875965958506;400;1
22;7;-1203.4957202590344;924488;-1269.8138314015087;460;1
23;6;-1232.7005100037618;1045853;-1308.873702444112;400;1
24;7;-1208.980003495073;1998877;-1282.3544846509094;460;1
25;6;-1210.0719240554972;959116;-1292.7102900014095;400;1
26;8;-1209.7712184111797;2308688;-1300.3077592897778;520;1
27;7;-1202.2095453146783;862261;-1283.8044463552062;307;1
28;9;-1207.6998896440846;2808954;-1281.5291619997515;580;1
29;7;-1185.502541439058;984875;-1273.1520742507935;460;1
30;7;-1167.7131178102302;475795;-1251.775301504313;460;1
