len;nParam;DL;ms;nll;restarts;restartNumBest;numIters;numEvals
1;0;25911.073041691816;114;25911.073041691816;1;1;0;0
2;0;193969.65623403183;114;193965.66724998527;1;1;0;0
3;1;1442.3703468156925;453;1434.6321382311;15;15;60;143
4;1;1443.4689591039933;345;1434.632138231108;15;15;64;188
5;2;-1114.044297415971;1649;-1130.40961342146;35;35;308;671
6;2;-1110.6579167366522;13305;-1130.409613421456;35;35;342;785
7;3;-1227.096138390905;62413;-1251.1694348672422;220;38;6283;16777
8;1;-1225.5198796719267;7754;-1246.1813979955239;15;15;58;158
9;3;-1250.5555019200297;224966;-1279.0742907198887;220;10;10467;22236
10;3;-1241.6086243482598;447883;-1271.7496578622602;220;4;5408;14344
